interaction_title	interaction_type	feature	category_key	feature_id	status	summary	related_region	menu	shortcut	preconditions	edge_cases	acceptance_criteria
Adjust Sidebar Width	input	Manage File Manager Window Panes	FMW	FMW-002	배포 완료	Sidebar의 Width를 최소-최대 범위 내에서 조정	file_manager_window.sidebar	-	-	- Sidebar가 표시 상태	- 사용자가 최소 너비 허용값 이하로 조정하려는 경우  - 사용자가 최대 너비 허용값 이상으로 조정하려는 경우  - 너비 조정 중 Hide Sidebar가 호출되는 경우	- Sidebar가 표시 상태일 때, 사용자가 해당 인터랙션을 호출하면, Sidebar Width가 정의된 최소-최대 범위 내에서만 변경됨 - Sidebar 너비를 최소 허용값 이하로 줄이려는 상태에서 사용자가 해당 인터랙션을 호출하면, Hide Sidebar 인터랙션을 호출함 - Sidebar 너비를 늘리려 할 때, 특정한 값에 도달한다면, 해당 값에서 더 이상 증가하지 않음
Draw Hidden Sidebar	command	Manage File Manager Window Panes	FMW	FMW-002	기획 완료	숨겨진 Sidebar를 File Manager의 좌측 영역에 일시적으로 표시	file_manager_window.sidebar	-	-	- Sidebar가 숨김 상태	- 사용자가 Sidebar 내부 요소와 인터랙션하는 중 인식 범위를 벗어나는 경우	- Sidebar가 숨김 상태일 때, 사용자가 해당 인터랙션을 호출하면, Sidebar가 좌측에서 일시적으로 슬라이드 인되어 표시되고 사용자 포인터나 포커스가 Sidebar 영역을 벗어나면 자동으로 다시 숨겨짐 - Sidebar가 숨김 상태일 때, 사용자가 해당 인터랙션을 반복 호출하면, Sidebar 임시 표시 상태가 갱신되거나 유지되어 사용자가 내용을 확인할 수 있음
Show Inspector Pane	command	Manage File Manager Window Panes	FMW	FMW-002	기획 완료	Inspector Pane을 File Manager의 우측 영역에 고정되게 표시	file_manager_window.inspector_pane	View	-	- Inspector Pane이 숨김 상태	-	- Inspector Pane가 숨김 상태일 때, 사용자가 해당 인터랙션을 호출하면, Inspector Pane이 File Manager 우측 영역에 표시됨 - Inspector Pane이 표시될 때, 숨긴 시점의 Pane Mode가 Chat Pane이 아니라면, 해당 Pane Mode로 렌더링됨
Hide Inspector Pane	command	Manage File Manager Window Panes	FMW	FMW-002	기획 완료	Inspector Pane을 File Manage에서 보이지 않게 숨김	file_manager_window.inspector_pane	View	-	- Inspector Pane이 표시 상태	-	- Inspector Pane이 표시 상태일 때, 사용자가 해당 인터랙션을 호출하면, Inspector Pane이 숨김 상태로 전환되고 Content Pane이 우측으로 확장됨
Adjust Inspector Pane Width	input	Manage File Manager Window Panes	FMW	FMW-002	기획 완료	Inspector Pane의 Width를 최소-최대 범위 내에서 조정	file_manager_window.inspector_pane	-	-	- Inspector Pane이 표시 상태	- 최소 너비 이하로 조정되는 경우  - 최대 너비 이상으로 조정되는 경우  - 너비 조정 중 Hide Inspector Pane이 호출되는 경우	- Inspector Pane이 표시 상태일 때, 사용자가 해당 인터랙션을 호출하면, Inspector Pane Width가 정의된 최소-최대 범위 내에서만 변경됨 - Inspector Pane 너비를  줄이려 할 때, 최소 허용값 이하로 줄이려 한다면, Inspector Pane Width가 최소값에서 멈춤 - Inspector Pane 너비를 늘리려 할 때,  최대 허용값 이상으로 늘리려 한다면, Inspector Pane Width가 최대값에서 더 이상 증가하지 않음
Navigate Pages	command	Navigate Pages	EVM	EVM-001	배포 완료	Content Pane에서 Entry 클릭하거나 선택해 현재 Content Tab Page를 새 Page로 전환	file_manager_window.content_pane	-	-	- 페이지 전환 대상이 유효한 상태  - 해당 대상을 표시할 권한 또는 접근성이 확보된 상태	- 전환 대상이 삭제되었거나, 접근 권한이 사라진 경우 - 네트워크/외장 볼륨 내 전환 시 연결이 끊긴 경우  - 이미 같은 페이지로 이동하려는 경우	- Content Pane에 네비게이션 가능 대상이 있을 때, 사용자가 해당 대상을 선택하여 인터랙션을 호출하면 해당 타깃을 표시하는 페이지로 전환되고 히스토리에 새 점이 추가됨
Go Page History Back	command	Navigate Pages	EVM	EVM-001	배포 완료	현재 Content Tab Page History 상 이전 Page로 전환	file_manager_window.content_pane.content_header	Go	⌘[	- Content Tab Page History 상 이전 페이지가 존재하는 상태	- 이전 페이지 대상이 더 이상 접근이 불가능한 경우	- 페이지 히스토리에 이전 페이지가 있을 때, 사용자가 해당 인터랙션을 호출하면, 페이지 스택의 이전 항목으로 전환되고 현재 페이지는 히스토리 포인터 한 단계 뒤로 이동한 상태로 기록됨
Forward Page History	command	Navigate Pages	EVM	EVM-001	배포 완료	현재 Content Tab Page History 상 다음 Page로 전환	file_manager_window.content_pane.content_header	Go	⌘]	- Content Tab Page History 상 '앞으로' 이동 가능한 페이지가 존재하는 상태	- 다음 페이지 대상이 더 이상 접근이 불가능한 경우	- 페이지 히스토리에 앞으로 이동 가능한 페이지가 있을 때, 사용자가 해당 인터랙션을 호출하면, 페이지 스택의 다음 항목으로 전환되고 히스토리 포인터가 한 단계 앞으로 이동한 상태로 기록됨
Show Page History	command	Navigate Pages	EVM	EVM-001	배포 완료	현재 Content Tab의 페이지 히스토리를 드랍다운 리스트로 표시	file_manager_window.content_pane.content_header	-	-	- 현재 Content Tab Page History가 최소 1개 이상 존재하는 상태	-	- 페이지 히스토리가 한 개 이상 존재할 때, 사용자가 해당 인터랙션을 호출하면, 해당 Content Tab에서 페이지 전환 히스토리가 드랍다운 리스트로 표시됨  - 페이지 히스토리 드랍다운 리스트가 표시되었을 때, 사용자가 리스트 상 히스토리 항목을 선택하면, 해당 히스토리로 전환되고, 히스토리 포인터가 해당 위치로 이동한 상태로 기록됨
Go to Enclosing Directory	command	Navigate Pages	EVM	EVM-001	배포 완료	현재 Page가 표시하는 디렉토리의 상위 디렉토리로 이동	file_manager_window.content_pane	-	⌘▲	- 현재 페이지가 디렉토리 페이지인 상태	- 상위 디렉토리에 접근이 불가능한 경우	- 현재 페이지가 디렉토리 관련을 보여줄 때, 사용자가 해당 인터랙션을 호출하면, 상위 디렉토리 페이지가 로드되고 히스토리에 새로운 페이지로 추가됨
View Current Page Title	display	Navigate Pages	EVM	EVM-001	배포 완료	현재 Page의 제목을 표시	file_manager_window.content_pane.content_header	-	-	-	- 제목이 매우 긴 경우	- 현재 페이지가 디렉토리 관련 페이지일 때, 해당  - 현재 페이지가 콜렉션 페이지일 때,  - 현재 페이지가 채팅 페이지일 때,
Set Entries View as List (Table)	command	Configure Entries View	EVM	EVM-002	배포 완료	Entries View를 각 Entry에 대해 한 행으로 표시하며, 해당 Property를 열로 하는 레이아웃으로 전환	file_manager_window.content_pane	View	-	- 	-	- 현재 페이지가 Entries를 정상적으로 표시하고 있을 때, 사용자가 해당 인터랙션을 호출하면, Entry 구성이 리스트 레이아웃으로 전환되며 표시 속성은 기존 설정을 따름
Set Entries View as Icon (Grid)	command	Configure Entries View	EVM	EVM-002	배포 완료	Entries VIew를 각 아이콘으로 표현하는 그리드 레이아웃으로 전환	file_manager_window.content_pane	View	-	-	-	- 현재 페이지가 Entries를 정상적으로 표시하고 있을 때, 사용자가 해당 인터랙션을 호출하면, Entry 구성이 그리드 레이아웃으로 전환되며 정렬은 기존 설정을 따름
Set Entries View as Column	command	Configure Entries View	EVM	EVM-002	드래프트	Entries View를  왼쪽에서 오른쪽으로 상위 디렉토리에서 하위 디렉토리로 내려가는 3개의 세로 열로 구획된 레이아웃으로 전환 	file_manager_window.content_pane	View	-	-	-	- 현재 페이지가 Entries를 정상적으로 표시하고 있을 때, 사용자가 해당 인터랙션을 호출하면, Entry 구성이 컬럼 레이아웃으로 전환되며 정렬은 기존 설정을 따름
Set Entries View as Graph	command	Configure Entries View	EVM	EVM-002	드래프트	Entries View를 각 Entry 간 관계를 노드와 엣지 구조로 표현하는 레이아웃으로 전환	file_manager_window.content_pane	View	-	-	-	- 현재 페이지가 Entries를 정상적으로 표시하고 있을 때, 사용자가 해당 인터랙션을 호출하면, Entry 구성이 그래프 레이아웃으로 전환됨
Group Entries by Property	command	Configure Entries View	EVM	EVM-002	배포 완료	Entries View에서 선택한 Property를 기준으로 Entries를 그룹 섹션으로 묶어 같은 속성의 Entry 하나의 그룹 헤더 아래에 모아서 표시	file_manager_window.content_pane	View	-	- Entries View가 Icon View로 설정된 상태	- 선택한 프로퍼티 값이 일부 Entry에는 존재하지 않는 경우	- 현재 Entries View가 Icon View일 때, 해당 인터랙션을 호출하면, 선택한 프로퍼티를 기준으로 엔트리가 그룹 섹션으로 묶여 표시됨  - 특정 프로퍼티 그룹 섹션으로 묶여 표시될 때, 해당 프로퍼티가 없는 엔트리가 존재한다면, “미지정” 그룹에 표시됨 
Sort Entrires by Property	command	Configure Entries View	EVM	EVM-002	배포 완료	Entries View에서 선택한 Property를 기준으로 Entries 표시 순서를 정렬함	file_manager_window.content_pane	View	-	- Entries View가 List / Icon / Column VIew로 설정된 상태   - 정렬 가능한 프로퍼티가 정의된 상태	-	- 현재 페이지가 Entries를 정상적으로 표시하고 있을 때, 사용자가 해당 인터랙션을 호출하면, 선택한 프로퍼티 기준으로 Entries가 오름/내림차순으로 재정렬됨 - 선택한 프로퍼티로 정렬을 유지할 때, 엔트리 간 동일 값이 존재한다면, 기본적으로 이름을 2차 정렬 규칙으로 적용함
Show/Hide Hidden Entry	command	Configure Entries View	EVM	EVM-002	배포 완료	Entries View에서 숨김 설정된 Entry의 Entry 목록 상에 보이게 하거나, 보이지 않도록 토글	file_manager_window.content_pane	View	⌘⇧.	-	-	- 현재 Entry를 보여주는 페이지에 숨김 파일이 존재할 때, 해당 인터랙션을 호출하면, 숨김 설정된 엔트리가 뷰 상에 표시/해제됨 - 해당 인터랙션이 호출될 때, View Entry Counts in Current Page가 정상적으로 동작하면, 개수를 즉시 갱신함
Customize List View Column	input	Configure Entries View	EVM	EVM-002	준비 완료	Entries View가 리스트 레이아웃일 때, Entry 이름, 확장자, 크기, 날짜 등 표시할 속성 컬럼의 종류, 표시 여부, 순서를 편집	file_manager_window.content_pane	-	-	- Entries View가 List View로 설정된 상태	- 필수적으로 남겨야 하는 기본 컬럼까지 모두 숨기려 하는 경우	- Entries View가 List View로 설정된 상태일 때, 사용자가 컬럼 종류·표시 여부·순서를 편집하면, 리스트가 해당 설정대로 즉시 갱신됨 - 컬럼 편집을 수행하는 상태일 때, 사용자가 모든 컬럼을 숨기려 하면, 최소 이름 컬럼은 항상 유지됨  - 동일 탭 세션이 유지되는 상태일 때, 사용자가 컬럼 설정을 변경하면, 사용자 설정이 해당 탭 세션에서 지속 유지됨
View Entry Counts in Current Page	display	Configure Entries View	EVM	EVM-002	배포 완료	현재 Page에 존재하는 Entry의 총 개수를 표시	file_manager_window.content_pane	-	-	- 현재 페이지가 Entry를 보여주는 페이지인 상태	- 현재 페이지에 표시 가능한 Entry가 없는 경우  - 숨김 항목 표시 토글 상태에 따라 집계 대상이 달라지는 경우 	- 현재 페이지가 디렉토리, 콜렉션 등 Entry를 보여줄 수 있는 페이지일 때, Entry가 존재한다면, 개수를 집계하여 보여줌  - 현재 페이지가 디렉토리, 콜렉션 등 Entry를 보여줄 수 있는 페이지일 때, Entry가 존재하지 않는다면, 0개로 표시됨  - 사용자가 폴더 변경, 필터 변경, 숨김 토글 등 인터랙션을 실행했을 때, Entry 결과 집합의 개수가 변한다면, 즉시 갱신되어 반영됨
Show Selected Entry Counts	display	Configure Entries View	EVM	EVM-002	배포 완료	현재 Page에서 선택된 Entry의 개수를 표시함	file_manager_window.content_pane	-	-	- 현재 페이지가 Entry를 보여주는 페이지인 상태  - 하나 이상의 Entry가 선택된 상태	-	- 현재 페이지가 디렉토리, 콜렉션 등 Entry를 보여줄 수 있는 페이지일 때, 범위 선택, 다중 선택 등으로 선택한 Entry가 존재한다면, 현재 선택한 개수와 전체 개수를 함께 보여줌  - 선택한 Entry가 존재할 때, 이후 선택이 해제된다면, 즉시 반영되어 다시 View Entry Counts in Current Page를 표시함
Split Content Pane Vertically/Horizontally	command	Split Content Pane	EVM	EVM-003	기획 완료	현재 Content Pane을 수직 또는 수평으로 분할하여 두 개의 독립 뷰를 동시에 표시합니다	file_manager_window.content_pane	-	-	- Content Pane이 표시 상태. - 분할을 위한 최소 폭/높이가 확보된 상태. - 현재 Pane에 치명적 오류/모달 진행 중이 아닌 상태.	- 창/레이아웃이 너무 작아 두 Pane 최소 크기를 충족하지 못하는 경우. - Sidebar/Inspector가 넓게 열려 있어 분할 후 각 Pane 최소 폭을 만족하지 못하는 경우. - 현재 페이지가 렌더링 대기/오류로 분할 직후 동일 콘텐츠 동기화가 지연되는 경우.	- 사용자가 인터랙션을 호출하면 Content Pane이 지정한 방향(수직/수평)으로 즉시 두 Pane으로 분할됨. - 기본으로 두 Pane는 동일 페이지를 독립 스크롤로 표시하고, 중앙 디바이더가 생성됨. - 포커스는 새로 생성된 Pane로 전환되고 키보드 네비게이션이 해당 Pane에 라우팅됨.
Convert Split Pane Orientation	command	Split Content Pane	EVM	EVM-003	기획 완료	기존 분할된 Content Pane의 방향을 수직↔수평으로 전환합니다.	file_manager_window.content_pane	-	-	- Content Pane이 이미 분할 상태. - 레이아웃 변경을 위한 최소 폭/높이가 확보된 상태.	- 새 방향에서 각 Pane 최소 크기를 충족하지 못하는 경우 비율 재조정 또는 전환 불가 안내가 필요. - 고정된 UI(예: 최소 폭을 가진 Sidebar/Inspector)로 인해 균등 분할 불가한 경우.	- 사용자가 인터랙션을 호출하면 분할 방향이 수직↔수평으로 전환됨. - 기존 두 Pane의 콘텐츠/스크롤/선택 상태는 유지되며, 디바이더 위치는 가능한 범위에서 기존 비율을 반영해 재배치됨. - 제약으로 균등 분할이 불가하면 합리적 비율로 자동 조정하거나 안내를 표시함.
Seprated Splited Content Pane	command	Split Content Pane	EVM	EVM-003	기획 완료	두 분할 Pane의 세션/네비게이션을 분리하여 서로 다른 페이지/경로를 독립적으로 탐색합니다.	file_manager_window.content_pane	-	-	- Content Pane이 분할 상태. - 각 Pane의 히스토리/세션을 개별로 유지할 수 있는 상태.	- 한 Pane에서 접근 불가 경로/네트워크 끊김 발생 시 해당 Pane만 오류/안내를 표시하고 다른 Pane은 정상 유지. - 동일 리소스에 대한 동시 편집/잠금 충돌이 발생할 수 있는 경우.	- 사용자가 인터랙션을 호출하면 두 Pane의 세션/네비게이션이 분리되어 각 Pane에서 서로 다른 페이지/경로를 독립적으로 탐색 가능함. - 각 Pane의 히스토리는 별도로 기록되며, 링크/열기 등 액션은 현재 포커스 Pane에만 적용됨. - 한 Pane의 오류는 다른 Pane의 표시/조작에 영향을 주지 않음.
Adjust Splited Content Pane Size	input	Split Content Pane	EVM	EVM-003	기획 완료	분할된 Pane 사이의 디바이더를 드래그해 각 Pane의 크기를 조절합니다.	file_manager_window.content_pane	-	-	- Content Pane이 분할 상태. - 디바이더가 상호작용 가능 상태.	- 드래그로 한 Pane가 최소 허용 크기 이하로 줄어들려는 경우(클램핑). - 최대 허용 크기 이상으로 넓히려는 경우(클램핑). - 드래그 중 Sidebar/Inspector 토글로 가용 공간이 변해 즉시 재계산이 필요한 경우.	- 사용자가 디바이더를 드래그하면 두 Pane의 크기가 정의된 최소–최대 범위 내에서 실시간으로 조정됨. - 경계를 넘어가려는 경우 디바이더가 가장 가까운 허용값에서 멈춤. - 레이아웃 제약(예: Sidebar/Inspector 변화)이 발생하면 즉시 반영되어 겹침/잘림 없이 갱신됨.
Switch Focus between Split Panes	command	Split Content Pane	EVM	EVM-003	기획 완료	키보드 포커스를 좌/우(또는 상/하) Pane 사이에서 전환합니다.	file_manager_window.content_pane	-	-	- Content Pane이 분할 상태. - 포커스 전환 가능한 입력/상태(편집/모달 종료됨).	- 대상 Pane이 모달/입력 잠금 상태로 포커스 전환이 지연/불가한 경우. - 포커스 전환 직후 키보드 액션이 이전 Pane에 잔류 라우팅되는 레이스 조건.	- 사용자가 인터랙션을 호출하면 키보드 포커스가 좌/우(또는 상/하) Pane으로 즉시 전환됨. - 포커스 인디케이터가 전환된 Pane에 표시되고, 키보드 네비게이션/명령이 해당 Pane에만 라우팅됨. - 전환 불가 상태라면 안내를 표시하고 현재 포커스를 유지함.
Open Entry with Default App	command	Execute Entry	EAC	EAC-001	배포 완료	해당 Entry를 기본 앱으로 실행	file_manager_window.content_pane.page_container.page_mode_directory	File	⌘▼	- 하나 이상의 Entry가 선택된 상태 - 선택한 Entry에 대해 현재 사용자에게 최소 읽기 권한이 있는 상태	- 선택된 Entry가 파일 시스템 상에서 더 이상 존재하지 않는 경우 - 선택된 Entry에 기본 앱 매핑이 없거나 시스템이 해석할 수 없는 경우 - 클라우드/네트워크 스토리지 지연으로 Entry가 로컬에 아직 준비되지 않은 경우 - 선택된 Entry 수가 많아 일괄 실행 전에 사용자 확인이 필요한 경우	- 하나 이상의 Entry가 선택된 상태일 때, 사용자가 해당 인터랙션을 호출하면, 선택한 Entry들을 시스템 기본 앱으로 실행함. - 일부 Entry가 실행 불가한 상태일 때, 사용자가 해당 인터랙션을 호출하면, 실행 가능한 Entry만 실행하고 실패 대상과 사유를 사용자에게 안내함. - Entry가 선택되지 않은 상태일 때, 사용자가 해당 인터랙션을 호출하면, 아무 변화도 발생하지 않도록 함.
Open Entry with Selected App	command	Execute Entry	EAC	EAC-001	배포 완료	선택한 Entry를 사용자가 지정한 앱으로 실행	file_manager_window.content_pane.page_container.page_mode_directory	File	⌥⌘▼	- 하나 이상의 Entry가 선택된 상태 - 앱 선택 UI를 표시할 수 있는 상태	- 사용자가 앱 선택 UI를 취소하는 경우 - 선택한 앱이 설치되어 있지 않거나 실행 불가능한 경우 - 선택한 앱이 일부 Entry 유형을 지원하지 않는 경우	- 하나 이상의 Entry가 선택된 상태일 때, 사용자가 해당 인터랙션을 호출하면, 앱 선택 UI를 표시함. - 사용자가 앱을 선택한 상태일 때, 시스템이 실행을 시작하면, 선택한 Entry들을 지정한 앱으로 실행함. - 사용자가 앱 선택을 취소한 상태일 때, 시스템이 처리를 종료하면, 아무 변화도 발생하지 않도록 함.
Set Default App for Entry	command	Execute Entry	EAC	EAC-001	배포 완료	선택한 Entry의 파일 유형에 대해 기본 실행 앱을 설정	file_manager_window.content_pane.page_container.page_mode_directory	File	-	- 하나 이상의 Entry가 선택된 상태 - 기본 실행 앱으로 설정할 앱이 지정된 상태	- 선택된 Entry가 폴더이거나 파일 유형(UTType)을 확정할 수 없는 경우 - 선택된 Entry가 여러 파일 유형으로 섞여 단일 기본 앱 설정이 모호한 경우 - 시스템 정책/권한 문제로 기본 앱 변경을 적용할 수 없는 경우	- 기본 앱을 설정 가능한 파일이 선택된 상태일 때, 사용자가 해당 인터랙션을 호출하면, 선택된 Entry의 파일 유형에 대해 지정한 앱을 기본 실행 앱으로 설정함. - 여러 파일 유형이 섞여 있는 상태일 때, 사용자가 해당 인터랙션을 호출하면, 기본 앱 변경을 수행하지 않고 적용 불가 사유를 사용자에게 안내함. - 기본 앱 변경이 완료된 상태일 때, 사용자가 Open Entry with Default App을 호출하면, 변경된 기본 앱으로 실행되도록 함.
Quick Look Entry	command	Execute Entry	EAC	EAC-001	배포 완료	선택한 Entry의 내용을 볼 수 있는 Quick Look을 실행	file_manager_window.content_pane.page_container.page_mode_directory	View	Space, ⌘Y	- 하나 이상의 Entry가 선택된 상태 - Quick Look을 표시할 수 있는 UI 상태인 상태	- 선택된 Entry가 Quick Look 미지원 포맷이거나 프리뷰 생성에 실패하는 경우 - 클라우드/네트워크 지연으로 Entry가 로컬에 없어 즉시 프리뷰할 수 없는 경우 - Quick Look이 이미 표시 중인 경우	- 하나 이상의 Entry가 선택된 상태일 때, 사용자가 해당 인터랙션을 호출하면, Quick Look을 표시하고 선택된 Entry의 내용을 보여줌. - Quick Look이 이미 표시 중인 상태일 때, 사용자가 해당 인터랙션을 호출하면, Quick Look을 토글하거나 현재 선택 상태에 맞게 표시 대상을 갱신함. - 프리뷰 생성이 실패하는 상태일 때, 사용자가 해당 인터랙션을 호출하면, “미리보기 불가” 상태를 표시하고 실패 사유를 확인 가능하게 함.
Create New Folder	command	Organize Entries	EAC	EAC-002	배포 완료	현재 디렉토리에 새 폴더를 생성하고 곧바로 이름 편집 모드로 진입	file_manager_window.content_pane.page_container.page_mode_directory	File	⌘⇧N	- 현재 페이지가 디렉토리 컨텍스트를 가지는 상태 - 현재 디렉토리에 대해 쓰기 권한이 있는 상태	- 현재 디렉토리가 읽기 전용이거나 권한 부족인 경우 - 동일 이름 폴더가 이미 존재해 이름 충돌이 발생하는 경우 - 스토리지 지연으로 생성 결과 반영이 지연되는 경우	- 생성 가능한 디렉토리 컨텍스트일 때, 사용자가 해당 인터랙션을 호출하면, 현재 디렉토리에 새 폴더를 생성하고 곧바로 이름 편집 모드로 진입함. - 이름 충돌이 발생하는 상태일 때, 시스템이 폴더를 생성하면, 충돌을 회피하는 이름 규칙으로 생성하거나 사용자에게 이름 변경을 유도함. - 권한 문제로 생성할 수 없는 상태일 때, 사용자가 해당 인터랙션을 호출하면, 폴더를 생성하지 않고 실패 사유를 사용자에게 안내함.
Copy Entry(ies)	command	Organize Entries	EAC	EAC-002	배포 완료	선택한 Entry를 클립보드에 복사	file_manager_window.content_pane.page_container.page_mode_directory	Edit	⌘C	- 하나 이상의 Entry가 선택된 상태	- 선택된 Entry 중 일부가 접근 불가 또는 존재하지 않는 경우 - 선택된 Entry 수가 매우 많아 클립보드 기록이 지연되는 경우	- 하나 이상의 Entry가 선택된 상태일 때, 사용자가 해당 인터랙션을 호출하면, 선택한 Entry 참조를 클립보드에 “복사” 의도로 저장함. - 일부 Entry가 참조 불가한 상태일 때, 사용자가 해당 인터랙션을 호출하면, 참조 가능한 Entry만 저장하고 제외된 대상과 사유를 사용자에게 안내함. - Entry가 선택되지 않은 상태일 때, 사용자가 해당 인터랙션을 호출하면, 클립보드 상태를 변경하지 않도록 함.
