feature_category	category_key	feature_title	feature_id	release_phase	status	description	related_ui	objects
Entry Actions	EAC	Organize Entries	EAC-002	CBT-W1	개발 완료	Entry를 이동·분류·태깅하는 등 워크스페이스 내 Entry를 원하는 구조로 정리·재배치하는 관련 기능	file_manager_window.content_pane.page_container	TBD
Entry Actions	EAC	Manage Entry Lifecycle	EAC-003	CBT-W1	개발 완료	Entry 생성·삭제·복구 등 엔트리의 전체 생명주기 단계를 관리하는 관련 기능	file_manager_window.content_pane.page_container	TBD
Entry Actions	EAC	Edit System Property	EAC-004	CBT-W1	개발 중	이름, 플래그 등 시스템 수준 메타데이터를 수정하는 등 Entry의 시스템 프로퍼티 편집과 관련된 기능	file_manager_window.content_pane.page_container	TBD
Entry Actions	EAC	Package Entries	EAC-005	CBT-W1	개발 중	여러 Entry를 하나의 단위로 패키징해 공유·아카이브·이동하는 등 묶음/번들 단위로 다루는 것과 관련된 기능	file_manager_window.content_pane.page_container	TBD
Entry Actions	EAC	Copy Entry References	EAC-006	CBT-W1	준비 완료	Entry의 링크·경로 등 참조 정보를 복사해 다른 화면이나 도구에서 붙여넣기·재사용하는 것과 관련된 기능	file_manager_window.content_pane.page_container	TBD
Entry Indexing	EIX	Index Entries	EIX-001	CBT-W1	개발 중	워크스페이스 내 Entry에 대해 시스템·콘텐츠·임베딩 인덱스를 생성·갱신하는 등 엔트리 인덱싱 실행과 관련된 기능	-	TBD
Entry Indexing	EIX	Monitor Indexing Status	EIX-002	CBT-W1	준비 완료	인덱싱 큐 상태와 진행률, 실패/누락 엔트리를 요약해 보여주고 인덱싱 실행을 제어하는 등 인덱싱 상태 모니터링과 관련된 기능	settings_window.settings_body.tab_indexing	TBD
Entry Indexing	EIX	Configure Indexed Entries	EIX-003	CBT-W1	준비 완료	경로·엔트리 단위로 인덱싱 포함/제외 규칙을 설정하고 제외 대상을 관리하는 등 인덱싱 대상 엔트리 범위 구성과 관련된 기능	settings_window.settings_body.tab_indexing	TBD
Entry Indexing	EIX	Index System Properties	EIX-004	CBT-W1	개발 완료	경로·이름·시간 정보 등 시스템 수준 메타데이터를 수집·저장해 검색·필터·정렬에 사용할 수 있는 시스템 프로퍼티 인덱스를 유지하는 관련 기능	-	TBD
Entry Indexing	EIX	Index Content-based Properties	EIX-005	OBT	준비 완료	콘텐츠로부터 추출된 자동·사용자 정의 프로퍼티를 인덱스로 유지해 속성 기반 검색·콜렉션 조건 평가 등에 사용하는 콘텐츠 기반 프로퍼티 인덱싱과 관련된 기능	-	TBD
Entry Indexing	EIX	Extract Document Properties	EIX-006	OBT	준비 완료	문서·텍스트 계열 확장자의 Entry의 콘텐츠를 분석하고 속성을 추출하는 것과 관련된 기능	-	TBD
Entry Indexing	EIX	Extract Code Properties	EIX-007	OBT	준비 완료	프로그래밍∙코드 계열 확장자의 Entry의 콘텐츠를 분석하고 언어·구조 등 코드 관련 속성을 추출하는 것과 관련된 기능	-	TBD
Entry Indexing	EIX	Extract Sheet Properties	EIX-008	MVP	기획 완료	스프레드시트·테이블 계열 확장자의 Entry의 표 구조를 분석하고 시트·컬럼·행 관련 속성을 추출하는 것과 관련된 기능	-	TBD
Entry Indexing	EIX	Extract Image Properties	EIX-009	MVP	기획 완료	이미지·스크린샷 계열 확장자의 Entry의 시각 정보를 분석하고 캡션·분류 등 속성을 추출하는 것과 관련된 기능	-	TBD
Entry Indexing	EIX	Extract Audio Properties	EIX-010	MVP	기획 완료	오디오·음성 계열 확장자의 Entry의 콘텐츠를 분석하고 세션 성격과 주요 내용을 포함한 오디오 관련 속성을 추출하는 것과 관련된 기능	-	TBD
Entry Indexing	EIX	Extract Video Propeties	EIX-011	MVP	기획 완료	비디오 계열 확장자의 Entry의 콘텐츠를 분석하고 세션 성격과 주요 내용을 포함한 비디오 관련 속성을 추출하는 것과 관련된 기능	-	TBD
Entry Indexing	EIX	Index Entry Embeddings	EIX-012	MVP	기획 완료	Entry별 임베딩 벡터를 계산·저장·갱신해 의미 기반 검색과 유사도 판단에 사용하는 임베딩 인덱스를 유지하는 것과 관련된 기능	-	TBD
Entry Indexing	EIX	Compute Document Embeddings	EIX-013	MVP	준비 완료	문서·텍스트 계열 Entry의 전체 콘텐츠(본문, 요약 등)를 임베딩 입력으로 사용해 문서의 의미를 벡터로 표현하는 것과 관련된 기능	-	TBD
Entry Indexing	EIX	Compute Code Embeddings	EIX-014	MVP	준비 완료	코드 계열 확장자의 Entry의 콘텐츠(구문·구조·주석 등)를 임베딩 입력으로 사용해 코드의 의미를 벡터로 표현하는 것과 관련된 기능	-	TBD
Entry Indexing	EIX	Compute Sheet Embeddings	EIX-015	MVP	기획 완료	스프레드시트·테이블 계열 Entry의 표 구조와 데이터 콘텐츠를 임베딩 입력으로 사용해 표/데이터셋의 의미를 벡터로 표현하는 것과 관련된 기능	-	TBD
Entry Indexing	EIX	Compute Images Embeddings	EIX-016	MVP	기획 완료	이미지·스크린샷 계열 Entry의 시각 특징과 캡션·텍스트 설명을 임베딩 입력으로 사용해 이미지의 의미를 벡터로 표현하는 것과 관련된 기능	-	TBD
Entry Indexing	EIX	Compute Audio Embeddings	EIX-017	LATER	기획 완료	오디오·음성 계열 확장자의 Entry의 콘텐츠를 임베딩 입력으로 사용해 오디오 세션의 의미를 벡터로 표현하는 것과 관련된 기능	-	TBD
Entry Indexing	EIX	Compute Video Embeddings	EIX-018	LATER	기획 완료	비디오 계열 확장자의 Entry의 콘텐츠(Transcript와 화면 정보 등)를 임베딩 입력으로 사용해 비디오 세션의 의미를 벡터로 표현하는 것과 관련된 기능	-	TBD
Retrieval Collection	RCL	Define Collection Filter	RCL-001	CBT-W1	개발 중	Collection이 대상으로 삼을 Entry 범위를 스코프 타입과 경로 기준으로 지정·수정하는 것과 관련된 기능	file_manager_window.content_pane.content_header.collection_fillter_composer	TBD
Retrieval Collection	RCL	Manage Retrieval Collections	RCL-002	CBT-W1	개발 중	스코프와 필터 정의를 기반으로 Collection을 생성·수정·삭제하는 등 재사용 가능한 검색 뷰로 관리하는 것과 관련된 기능	file_manager_window.content_pane.content_header.collection_fillter_composer	TBD
Retrieval Collection	RCL	Retrieve Entries with Filters	RCL-003	CBT-W1	개발 중	시스템·커스텀 프로퍼티나 이름·경로 등의 결정론적 조건을 적용해 일치하는 Entry 집합만을 필터링해 조회하는 것과 관련된 기능	-	TBD
Conversation-driven Actions	CDA	Handle User Request	CDA-001	MVP	준비 완료	사용자의 요청 메시지를 받아 의도와 대상 맥락을 해석하고, 적절한 대화형 처리 플로우로 연결∙처리하는 것과 관련된 기능	file_manager_window.inspector_pane.inspector_mode_chat	TBD
Conversation-driven Actions	CDA	Handle Ask Intent	CDA-002	MVP	준비 완료	사용자의 질문 의도를 해석해, 현재 컨텍스트와 관련 Entry에서 답을 검색·조합해 응답을 생성하는 것과 관련된 기능	file_manager_window.inspector_pane.inspector_mode_chat	TBD
Conversation-driven Actions	CDA	Handle Retrieve Intent	CDA-003	MVP	준비 완료	사용자의 검색 의도를 해석해, Entry를 찾기 위한 적절한 조건식을 구성∙실행하여 결과를 제공하는 것과 관련된 기능	file_manager_window.inspector_pane.inspector_mode_chat	TBD
Conversation-driven Actions	CDA	Handle Organize Intent	CDA-004	MVP	준비 완료	사용자의 정돈 의도를 해석해 Entry 이동·분류·배치 등에 해당하는 정돈 액션 시퀀스를 구성·실행하는 것과 관련된 기능	file_manager_window.inspector_pane.inspector_mode_chat	TBD
Conversation-driven Actions	CDA	Manage Message Context	CDA-005	MVP	준비 완료	사용자가 현재 Chat 메시지에 포함할 디렉토리·콜렉션·선택 항목 등의 컨텍스트를 명시적으로 선택·관리하는 것과 관련된 기능	file_manager_window.inspector_pane.inspector_mode_chat	TBD
Conversation-driven Actions	CDA	Handle Conversion Intent	CDA-006	LATER	아이디어	사용자의 변환 의도를 해석해, Entry의 크기·해상도·확장자·포맷 등 표현 방식을 변경하는 변환 액션을 구성·실행하는 것과 관련된 기능	file_manager_window.inspector_pane.inspector_mode_chat	TBD
Conversation-driven Actions	CDA	Handle Edit Intent	CDA-007	LATER	아이디어	사용자의 편집 의도를 해석해, Entry의 콘텐츠를 수정·리라이트·구조 변경하는 편집 액션으로 수행하는 것과 관련된 기능	file_manager_window.inspector_pane.inspector_mode_chat	TBD
Conversation-driven Actions	CDA	Handle Generation Intent	CDA-008	LATER	아이디어	사용자의 생성 의도를 해석해, 요청된 타입에 맞는 도구·모델로 새로운 Entry를 생성하는 것과 관련된 기능	file_manager_window.inspector_pane.inspector_mode_chat	TBD
Custom Entry Properties	CEP	Manage Custom Entry Properties	CEP-001	OBT	준비 완료	Entry 단위로 사용자가 정의한 커스텀 프로퍼티를 추가·수정·삭제하고 해당 값들을 관리하는 것과 관련된 기능	TBD	TBD
Custom Entry Properties	CEP	Define Custom Property Schema	CEP-002	OBT	아이디어	Entry에 사용할 커스텀 프로퍼티의 타입·필수 여부·옵션 값 등 스키마를 정의·편집하는 것과 관련된 기능	TBD	TBD
Custom Entry Properties	CEP	Computed Properties	CEP-003	LATER	아이디어	다른 프로퍼티 값을 기반으로 자동 계산되는 프로퍼티를 정의·적용해 Entry에 계산된 속성을 부여하는 것과 관련된 기능	TBD	TBD
User Settings	SET	Control Settings Window	SET-001	CBT-W1	개발 완료	설정 창을 열기·전환·닫기 등 설정 인터페이스의 표시 상태와 탐색 흐름을 제어하는 것과 관련된 기능	settings_window	TBD
User Settings	SET	Configure General Settings	SET-002	CBT-W1	개발 완료	앱 전반의 기본 동작 방식과 환경을 설정·변경하는 것과 관련된 기능	settings_window.settings_body.tab_general	TBD
User Settings	SET	Configure Appearance Settings	SET-003	CBT-W1	개발 완료	라이트/다크 모드 등의 테마를 설정하고, UI 상 표현될 폰트 크기 등을 설정·변경하는 것과 관련된 기능	settings_window.settings_body.tab_appearance	TBD
User Settings	SET	Manage System Permissions	SET-004	CBT-W1	준비 완료	TBD	TBD	TBD
User Settings	SET	Customize Keyboard Shortcut	SET-005	MVP	기획 완료	설정된 키보드 단축키를 수정하는 것과 관련된 기능	settings_window.settings_body.tab_shortcuts	TBD
User Settings	SET	Customize Theme	SET-006	LATER	드래프트	UI 요소별 색상 스타일을 수정해 앱 전반의 시각적 표현 방식을 조정하는 것과 관련된 기능	settings_window.settings_body.tab_appearance	TBD
Onboard	ONB	Run User Onboarding	ONB-001	CBT-W1	개발 완료	앱 실행 시 온보딩 필요 여부를 판정하고, 세션을 생성∙재개하며 스텝 단위 플로우를 처리하는 것과 관련된 기능	onboarding_window	TBD
Entry Automation	EAU	Define Automation Rules	EAU-001	LATER	아이디어	<<AI>> 조건 기반 규칙을 생성해 엔트리 정리, 이동, 태깅, 패키징 등 반복 작업을 자동화하는 기능	TBD	TBD
Entry Automation	EAU	Schedule Automation Rules	EAU-002	LATER	아이디어	TBD	TBD	TBD
Entry Automation	EAU	Manage Automation Rules	EAU-003	LATER	아이디어	TBD	TBD	TBD
Entry Automation	EAU	View Automation Logs	EAU-004	LATER	아이디어	TBD	TBD	TBD
Command Palette	CMP	Invoke Commands	CMP-001	BACKLOG	아이디어	커맨드 팔레트를 전역 단축키 등으로 호출해 현재 컨텍스트에서 사용 가능한 명령 목록을 불러오고, 선택한 명령을 실제 액션으로 실행하는 것과 관련된 기능	TBD	TBD
Command Palette	CMP	Browse Commands	CMP-002	BACKLOG	아이디어	커맨드 팔레트에서 명령을별칭·키워드·사용 이력 등을 기준으로 탐색·검색하고, 현재 컨텍스트에 맞는 명령을 추천해 노출하는 것과 관련된 기능	TBD	TBD
Command Palette	CMP	Navigate Workspace	CMP-003	BACKLOG	아이디어	커맨드 팔레트에서 디렉토리·콜렉션·채팅·설정 등 워크스페이스 내 네비게이션 대상을 검색·선택해 현재 탭 또는 새 탭에서 열어 이동하는 것과 관련된 기능	TBD	TBD
Command Palette	CMP	Configure Command Palette	CMP-004	BACKLOG	아이디어	커맨드 팔레트의 호출 단축키, 표시 범위, 즐겨찾기 명령, 실험 기능 노출 여부, 사용 로그 기반 추천 등을 설정·관리하는 것과 관련된 기능	TBD	TBD
Command Palette	CMP	Process Natural-Language Commands	CMP-005	BACKLOG	아이디어	커맨드 팔레트 입력란에 자연어로 입력된 요청을 명령·대상·옵션 구조로 해석해 기존 명령 조합으로 변환하거나, 매핑이 어려운 경우 채팅 세션으로 라우팅하고 워킹셋 컨텍스트를 구성하는 것과 관련된 기능	TBD	TBD
Entry Relations	ERL	Retrieve Entries with Semantic Similarity	ERL-001	BACKLOG	드래프트	<<AI>> 임베딩 기반 의미 유사도를 사용해 자연어 쿼리나 기준 엔트리와 의미적으로 가까운 엔트리들을 찾아오는 기능	TBD	TBD
Entry Relations	ERL		ERL-002	BACKLOG	아이디어	TBD	TBD	TBD
AI Tool Integration	ATI	Provide MCP Server	ATI-001	BACKLOG	아이디어	<<AI>> 모델 컨트롤 프로토콜(MCP) 서버로 동작해 외부 에이전트 또는 도구와의 상호작용을 제공하는 기능	TBD	TBD
AI Tool Integration	ATI	Connect MCP Tools	ATI-002	BACKLOG	아이디어	<<AI>> MCP 기반 외부 도구나 서비스와 연결해 AI 작업 확장성을 확보하는 기능	TBD	TBD
AI Tool Integration	ATI	Bring Your Own Key	ATI-003	BACKLOG	아이디어	TBD	TBD	TBD
AI Tool Integration	ATI	Manage AI Providers	ATI-004	BACKLOG	아이디어	TBD	TBD	TBD
AI Tool Integration	ATI	Use Local Model	ATI-005	BACKLOG	아이디어	TBD	TBD	TBD
External Storage Integration	ESI	Connect Cloud Storage	ESI-001	BACKLOG	아이디어	<<TODO>> iCloud, Dropbox, Google Drive 등 외부 클라우드 저장소를 Voyager에 연결하고 관리하는 기능	TBD	TBD
External Storage Integration	ESI	Connect Network Drives	ESI-002	BACKLOG	아이디어	<<TODO>> 네트워크 드라이브(SMB, AFP, NFS)	TBD	TBD
External Storage Integration	ESI	Connect Object Storage	ESI-003	BACKLOG	아이디어	<<TODO>>오브젝트 스토리지	TBD	TBD
		Chat with Content Tabs		BACKLOG	아이디어	<<TODO>>탭별로 분리된 대화 컨텍스트를 유지해, 여러 작업 스레드를 병렬로 진행하는 대화 시스템	TBD	TBD
User Profile	UPR	Configure User Profile	UPR-001	BACKLOG	아이디어	<<TODO>> 사용자 프로필, 워크스페이스 환경, 기본 동작 방식 등을 설정하는 기능	TBD	TBD
User Profile	UPR	Configure Profile Default Tabs	UPR-002	BACKLOG	아이디어	TBD	TBD	TBD
User Profile	UPR	Configure Profile Default Collections	UPR-003	BACKLOG	아이디어	TBD	TBD	TBD
User Profile	UPR	Configure Profile Automation Environment	UPR-004	BACKLOG	아이디어	TBD	TBD	TBD
Modern File Browsing	MFB	Enhance Quick Look Preview	MFB-001	BACKLOG	드래프트	TBD	TBD	TBD
Modern File Browsing	MFB	Little Arc	MFB-002	BACKLOG	아이디어	<<TODO>> 리틀 아크	TBD	TBD
Modern File Browsing	MFB	Use Stash Shelf	MFB-003	BACKLOG	아이디어	<<TODO>> Dropover·Yoink처럼 화면 한쪽에 임시 파일 바구니를 띄워, 드래그로 파일·폴더를 담아두고 다른 앱이나 윈도우로 쉽게 옮길 수 있게 하는 기능	TBD	TBD
Modern File Browsing	MFB	Share Content Tabs Across Windows	MFB-004	BACKLOG	아이디어	<<TODO>> 아크같은 모든 윈도우간 탭 공유	TBD	TBD
		Enable Voice Input		BACKLOG	아이디어	<<TODO>> 음성 명령으로 검색, 질문, 파일 관리 작업을 수행할 수 있게 하는 입력 기능	TBD	TBD
		Activate Global Voice Command		BACKLOG	아이디어	<<TODO>> Siri처럼 화면 위에 보이스 입력 창을 띄워, macOS 어디서나 단축키로 파일 검색·관리·질문 등을 바로 실행하는 기능	TBD	TBD
		Activate Agent Mode		BACKLOG	아이디어	<<TODO>> 사용자의 의도를 바탕으로 다단계 작업을 자동으로 실행하는 에이전트 기반 운영 모드	TBD	TBD
		Integrate Applications		BACKLOG	아이디어	<<TODO>> 외부 앱과 연동하여 Entry를 공유하거나 액션을 실행하는 기능	TBD	TBD
		Support Custom Extensions		BACKLOG	아이디어	<<TODO>> 사용자 정의 플러그인 또는 확장을 통해 Voyager 기능을 추가하거나 동작을 조정하는 기능	TBD	TBD
		Provide Whiteboard Page		BACKLOG	아이디어	<<TODO>> 자유롭게 아이디어, 구조, 파일 링크 등을 시각적으로 배치할 수 있는 화이트보드 형태의 페이지	TBD	TBD
		Integrate Raycast Extension		BACKLOG	아이디어	<<TODO>> 래이캐스트 익스텐션	TBD	TBD
		Edit Text and Code Inline		BACKLOG	아이디어	<<TODO>> 인라인 텍스트 파일, 코드 에디터	TBD	TBD
		Import and Export Smart Collections		BACKLOG	아이디어	<<TODO>> 스마트폴더 임포트 및 익스포트	TBD	TBD
		Manage Entry Versions		BACKLOG	아이디어	<<TODO>> 파일 버전 관리	TBD	TBD
		Share Prompt Templates		BACKLOG	아이디어	<<TODO>> 프롬프트 공유	TBD	TBD
				BACKLOG	아이디어	<<TODO>> 파일 프리뷰 	TBD	TBD
						퀵 액션		
