interaction_title	interaction_id	interaction_type	feature	category_key	feature_id	status	summary	related_region	menu	shortcut
Show Page History	EVM-001-show_page_history	command	Navigate Pages	EVM	EVM-001	배포 완료	현재 Content Tab의 페이지 히스토리를 드랍다운 리스트로 표시	file_manager_window.content_pane.content_header	-	-
Go to Enclosing Directory	EVM-001-go_to_enclosing_directory	command	Navigate Pages	EVM	EVM-001	배포 완료	현재 Page가 표시하는 디렉토리의 상위 디렉토리로 이동	file_manager_window.content_pane	-	⌘▲
View Current Page Title	EVM-001-view_current_page_title	display	Navigate Pages	EVM	EVM-001	배포 완료	현재 Page의 제목을 표시	file_manager_window.content_pane.content_header	-	-
Reload Directory Page on External Change	EVM-001-reload_directory_page_on_external_change	background	Navigate Pages	EVM	EVM-001	기획 완료	외부 파일시스템 변경이 발생했을 때 현재 디렉토리 페이지를 다시 불러와 최신 엔트리 목록 상태를 반영	file_manager_window.content_pane.page_container.page_mode_directory	-	-
Set Entries View as List	EVM-002-set_entries_view_as_list_table	command	Configure Entries View	EVM	EVM-002	배포 완료	Entries View를 리스트 레이아웃으로 전환하고, 리스트 열 구성 설정에 따라 컬럼 순서와 표시를 반영	file_manager_window.content_pane	view_menu	-
Set Entries View as Icon	EVM-002-set_entries_view_as_icon_grid	command	Configure Entries View	EVM	EVM-002	배포 완료	Entries View를 아이콘 레이아웃으로 전환해 동일한 Entry 데이터를 시각적으로 표시	file_manager_window.content_pane	view_menu	-
Set Entries View as Column	EVM-002-set_entries_view_as_column	command	Configure Entries View	EVM	EVM-002	드래프트	Entries View를  왼쪽에서 오른쪽으로 상위 디렉토리에서 하위 디렉토리로 내려가는 3개의 세로 열로 구획된 레이아웃으로 전환	file_manager_window.content_pane	view_menu	-
Set Entries View as Graph	EVM-002-set_entries_view_as_graph	command	Configure Entries View	EVM	EVM-002	드래프트	Entries View를 각 Entry 간 관계를 노드와 엣지 구조로 표현하는 레이아웃으로 전환	file_manager_window.content_pane	view_menu	-
Group Entries by Property	EVM-002-group_entries_by_property	command	Configure Entries View	EVM	EVM-002	배포 완료	Entries View에서 선택한 Property 값으로 Entries를 그룹화해 섹션 헤더 아래에 표시하며, 그룹 라벨·색상은 동일한 규칙에 따라 표현	file_manager_window.content_pane	view_menu	-
Sort Entrires by Property	EVM-002-sort_entrires_by_property	command	Configure Entries View	EVM	EVM-002	배포 완료	Entries View에서 선택한 Property를 기준으로 Entries 표시 순서를 정렬함	file_manager_window.content_pane	view_menu	-
Show/Hide Hidden Entry	EVM-002-show_hide_hidden_entry	command	Configure Entries View	EVM	EVM-002	배포 완료	Entries View에서 숨김 설정된 Entry의 Entry 목록 상에 보이게 하거나, 보이지 않도록 토글	file_manager_window.content_pane	view_menu	⌘⇧.
Customize List View Column	EVM-002-customize_list_view_column	input	Configure Entries View	EVM	EVM-002	준비 완료	List View에서 리스트 열 구성의 표시 여부와 순서를 설정	file_manager_window.content_pane	-	-
View Entry Counts in Current Page	EVM-002-view_entry_counts_in_current_page	display	Configure Entries View	EVM	EVM-002	배포 완료	현재 Page에 존재하는 Entry의 총 개수를 표시	file_manager_window.content_pane	-	-
Show Selected Entry Counts	EVM-002-show_selected_entry_counts	display	Configure Entries View	EVM	EVM-002	배포 완료	현재 Page에서 선택된 Entry의 개수를 표시함	file_manager_window.content_pane	-	-
Update Entry Selection	EVM-002-update_entry_selection	input	Configure Entries View	EVM	EVM-002	드래프트	선택된 Entry 집합을 갱신	-	-	-
Split Content Pane Vertically/Horizontally	EVM-003-split_content_pane_vertically_horizontally	command	Split Content Pane	EVM	EVM-003	기획 완료	<<AI>> 현재 Content Pane을 수직 또는 수평으로 분할하여 두 개의 독립 뷰를 동시에 표시합니다	file_manager_window.content_pane	-	-
Convert Split Pane Orientation	EVM-003-convert_split_pane_orientation	command	Split Content Pane	EVM	EVM-003	기획 완료	<<AI>> 기존 분할된 Content Pane의 방향을 수직↔수평으로 전환합니다.	file_manager_window.content_pane	-	-
Seprated Splited Content Pane	EVM-003-seprated_splited_content_pane	command	Split Content Pane	EVM	EVM-003	기획 완료	<<AI>> 두 분할 Pane의 세션/네비게이션을 분리하여 서로 다른 페이지/경로를 독립적으로 탐색합니다.	file_manager_window.content_pane	-	-
Adjust Splited Content Pane Size	EVM-003-adjust_splited_content_pane_size	input	Split Content Pane	EVM	EVM-003	기획 완료	<<AI>> 분할된 Pane 사이의 디바이더를 드래그해 각 Pane의 크기를 조절합니다.	file_manager_window.content_pane	-	-
Switch Focus between Split Panes	EVM-003-switch_focus_between_split_panes	command	Split Content Pane	EVM	EVM-003	기획 완료	<<AI>> 키보드 포커스를 좌/우(또는 상/하) Pane 사이에서 전환합니다.	file_manager_window.content_pane	-	-
Open Entry with Default App	EAC-001-open_entry_with_default_app	command	Execute Entry	EAC	EAC-001	배포 완료	해당 Entry를 기본 앱으로 실행	file_manager_window.content_pane.page_container.page_mode_directory	file_menu	⌘▼
Open Entry with Selected App	EAC-001-open_entry_with_selected_app	command	Execute Entry	EAC	EAC-001	배포 완료	선택한 Entry를 사용자가 지정한 앱으로 실행	file_manager_window.content_pane.page_container.page_mode_directory	file_menu	⌥⌘▼
Set Default App for Entry	EAC-001-set_default_app_for_entry	command	Execute Entry	EAC	EAC-001	배포 완료	선택한 Entry의 파일 유형에 대해 기본 실행 앱을 설정	file_manager_window.content_pane.page_container.page_mode_directory	file_menu	-
Quick Look Entry	EAC-001-quick_look_entry	command	Execute Entry	EAC	EAC-001	배포 완료	선택한 Entry의 내용을 볼 수 있는 Quick Look을 실행	file_manager_window.content_pane.page_container.page_mode_directory	view_menu	Space, ⌘Y
Create New Folder	EAC-002-create_new_folder	command	Organize Entries	EAC	EAC-002	배포 완료	현재 디렉토리에 새 폴더를 생성하고 곧바로 이름 편집 모드로 진입	file_manager_window.content_pane.page_container.page_mode_directory	file_menu	⌘⇧N
Copy Entry(ies)	EAC-002-copy_entry_ies	command	Organize Entries	EAC	EAC-002	배포 완료	선택한 Entry를 클립보드에 복사	file_manager_window.content_pane.page_container.page_mode_directory	edit_menu	⌘C
Cut Entry(ies)	EAC-002-cut_entry_ies	command	Organize Entries	EAC	EAC-002	배포 완료	선택한 Entry를 이동을 위한 잘라내기 상태로 클립보드에 저장	file_manager_window.content_pane.page_container.page_mode_directory	edit_menu	⌘X
Paste Entry(ies)	EAC-002-paste_entry_ies	command	Organize Entries	EAC	EAC-002	배포 완료	클립보드에 저장된 Entry를 현재 디렉토리에 붙여넣기	file_manager_window.content_pane.page_container.page_mode_directory	edit_menu	⌘V
Duplicate Entry(ies)	EAC-002-duplicate_entry_ies	command	Organize Entries	EAC	EAC-002	배포 완료	선택한 Entry의 복제본을 동일 위치에 생성	file_manager_window.content_pane.page_container.page_mode_directory	file_menu	⌘D
Move Entry(ies)	EAC-002-move_entry_ies	command	Organize Entries	EAC	EAC-002	배포 완료	선택한 Entry를 지정한 대상 디렉토리로 이동	file_manager_window.content_pane.page_container.page_mode_directory	file_menu	-
Create Entry Alias	EAC-002-create_entry_alias	command	Organize Entries	EAC	EAC-002	배포 완료	선택한 Entry에 대한 Alias(바로가기)를 생성	file_manager_window.content_pane.page_container.page_mode_directory	file_menu	⌃⌘A
Compress Entry(ies)	EAC-002-compress_entry_ies	command	Organize Entries	EAC	EAC-002	배포 완료	선택한 Entry를 현재 디렉토리에 하나의 압축 파일로 생성	file_manager_window.content_pane.page_container.page_mode_directory	file_menu	-
Extract Compressed File(s)	EAC-002-extract_compressed_file_s	command	Organize Entries	EAC	EAC-002	배포 완료	선택한 압축 파일을 현재 디렉토리 또는 지정한 위치로 해제	file_manager_window.content_pane.page_container.page_mode_directory	file_menu	-
Move Entry(ies) to Trash	EAC-003-move_entry_ies_to_trash	command	Manage Entry Lifecycle	EAC	EAC-003	배포 완료	선택한 Entry를 휴지통으로 이동	file_manager_window.content_pane.page_container.page_mode_directory	file_menu	⌘⌫
Delete Entry(ies) Immediately	EAC-003-delete_entry_ies_immediately	command	Manage Entry Lifecycle	EAC	EAC-003	배포 완료	선택한 Entry를 휴지통을 거치지 않고 즉시 영구 삭제	file_manager_window.content_pane.page_container.page_mode_directory	file_menu	⌥⌘⌫
Put Deleted Entry(ies) Back	EAC-003-put_deleted_entry_ies_back	command	Manage Entry Lifecycle	EAC	EAC-003	취소	선택한 휴지통의 Entry를 휴지통으로 가기 이전 경로로 복원	file_manager_window.content_pane.page_container.page_mode_directory	file_menu	⌘⌫
Empty Trash	EAC-003-empty_trash	command	Manage Entry Lifecycle	EAC	EAC-003	배포 완료	휴지통에 있는 모든 Entry를 영구 삭제	file_manager_window.content_pane.page_container.page_mode_directory	file_menu	⇧⌘⌫
Undo Entry Action	EAC-003-undo_entry_action	command	Manage Entry Lifecycle	EAC	EAC-003	배포 완료	최근 수행한 Entry 관련 액션을 되돌림	file_manager_window.content_pane.page_container.page_mode_directory	edit_menu	⌘Z
Redo Entry Action	EAC-003-redo_entry_action	command	Manage Entry Lifecycle	EAC	EAC-003	배포 완료	Undo로 되돌린 최근 Entry 관련 액션을 다시 적용	file_manager_window.content_pane.page_container.page_mode_directory	edit_menu	⇧⌘Z
Rename Entry	EAC-004-rename_entry	command	Edit System Property	EAC	EAC-004	배포 완료	선택한 Entry의 이름을 편집해 변경	file_manager_window.content_pane.page_container.page_mode_directory	file_menu	Enter
Edit Entry(ies) Tags	EAC-004-edit_entry_ies_tags	command	Edit System Property	EAC	EAC-004	기획 완료	선택한 Entry의 태그(라벨/색)를 추가·제거·변경	file_manager_window.content_pane.page_container.page_mode_directory	file_menu	-
Get Entry Info	EAC-004-get_entry_info	command	Edit System Property	EAC	EAC-004	배포 완료	선택한 Entry의 상세 정보 패널을 표시	file_manager_window.content_pane.page_container.page_mode_directory	file_menu	⌘I
Change Entry Permission(s)	EAC-004-change_entry_permission_s	command	Edit System Property	EAC	EAC-004	기획 완료	선택한 Entry의 읽기·쓰기·실행 권한과 소유자/그룹을 수정	file_manager_window.content_pane.page_container.page_mode_directory	file_menu	-
Batch Rename Entries	EAC-004-batch_rename_entries	command	Edit System Property	EAC	EAC-004	준비 완료	선택한 여러 Entry의 이름에 패턴·번호 매김·문자열 치환 규칙을 적용해 일괄적으로 변경	file_manager_window.content_pane.page_container.page_mode_directory	file_menu	-
Copy Absolute Path(s) of Entry(ies)	EAC-006-copy_absolute_path_s_of_entry_ies	command	Copy Entry References	EAC	EAC-006	배포 완료	선택한 Entry의 절대 경로를 클립보드에 복사	file_manager_window.content_pane.page_container.page_mode_directory	edit_menu	⌥⌘C
Copy Releative Path(s) of Entry(ies)	EAC-006-copy_releative_path_s_of_entry_ies	command	Copy Entry References	EAC	EAC-006	취소	선택한 Entry의 현재 디렉토리를 기준으로 한 상대 경로를 클립보드에 복사	file_manager_window.content_pane.page_container.page_mode_directory	edit_menu	⌥⇧⌘C
Copy URL(s) of Entry(ies)	EAC-006-copy_urls_of_entry_ies	command	Copy Entry References	EAC	EAC-006	배포 완료	선택한 Entry의 파일 시스템 URL을 클립보드에 복사	file_manager_window.content_pane.page_container.page_mode_directory	edit_menu	⌥⌘U
<<TEMP>> Show Services	UNK-000-show_services	command	-	-	-	드래프트	-	-	-	-
<<TEMP>> Show Quick Action Menu	UNK-000-show_quick_action_menu	command	-	-	-	드래프트	-	-	-	-
<<TEMP>> Share Entry(ies) via System Share Sheet	UNK-000-share_entry_ies_via_system_share_sheet	command	-	-	-	드래프트	-	-	-	-
Run Initial Indexing	EIX-001-run_initial_indexing	background	Index Entries	EIX	EIX-001	배포 완료	온보딩 완료 후 인덱싱 대상으로 설정된 전체 워크스페이스에 대해 초기 인덱싱을 실행해 검색·추천에 사용할 기본 인덱스를 생성	-	-	-
Index New Entries	EIX-001-index_new_entries	background	Index Entries	EIX	EIX-001	배포 완료	파일 시스템에서 새로 생성·추가된 Entry를 감지해 해당 Entry에 대해 내용 기반 프로퍼티·임베딩 인덱스를 실행하고 인덱스를 생성	-	-	-
Update Index for Changed Entries	EIX-001-update_index_for_changed_entries	background	Index Entries	EIX	EIX-001	배포 완료	수정·이동·삭제된 Entry를 감지해 해당 Entry에 대해 내용 기반 프로퍼티·임베딩 인덱스를 증분 갱신하거나 제거	-	-	-
Observe External File System Changes	EIX-001-observe_external_file_system_changes	background	Index Entries	EIX	EIX-001	기획 완료	VoyagerHelper가 메인 앱 생명주기와 분리된 상태로 외부 파일시스템 변경을 지속 감지해 변경 경로 이벤트를 생성	-	-	-
Bridge External File System Changes to App	EIX-001-bridge_external_file_system_changes_to_app	background	Index Entries	EIX	EIX-001	기획 완료	Helper가 감지한 외부 파일시스템 변경 경로를 메인 앱 런타임으로 전달해 라우트별 reload 및 stale invalidation 반응을 트리거할 수 있게 함	-	-	-
Reindex All Entries	EIX-001-reindex_all_entries	background	Index Entries	EIX	EIX-001	준비 완료	워크스페이스 전체에 대해 내용 기반 프로퍼티·임베딩 인덱스를 다시 실행해 손상되었거나 오래된 인덱스를 초기화·복구	-	-	-
Show Indexing Status	EIX-002-show_indexing_status	display	Monitor Indexing Status	EIX	EIX-002	준비 완료	인덱싱 큐 길이, 진행률에 대한 엔트리 인덱싱 상태를 요약해 표시	file_manager_window.sidebar.sidebar_footer	-	-
Pause Entry Indexing	EIX-002-pause_entry_indexing	command	Monitor Indexing Status	EIX	EIX-002	준비 완료	백그라운드 엔트리 인덱싱 작업을 일시 중지하고, 이후 재개할 수 있도록 현재 인덱싱 대기 상태를 유지	file_manager_window.sidebar.sidebar_footer	-	-
Resume Entry Indexing	EIX-002-resume_entry_indexing	command	Monitor Indexing Status	EIX	EIX-002	준비 완료	일시 중지된 엔트리 인덱싱 작업을 재개	file_manager_window.sidebar.sidebar_footer	-	-
Show Indexing Failures	EIX-002-show_indexing_failures	display	Monitor Indexing Status	EIX	EIX-002	준비 완료	인덱싱 실패 항목들을 나열하고, 각 항목의 실패 단계와 오류 요약을 표시	file_manager_window.sidebar.sidebar_footer	-	-
Retry Selected Indexing Failure	EIX-002-retry_selected_indexing_failure	command	Monitor Indexing Status	EIX	EIX-002	준비 완료	선택한 인덱싱 실패 항목의 인덱싱을 재시도	file_manager_window.sidebar.sidebar_footer	-	-
Show Indexed Entries	EIX-003-show_indexed_entries	display	Configure Indexed Entries	EIX	EIX-003	준비 완료	인덱싱이 완료된 엔트리 목록을 표시	settings_window.settings_body.tab_indexing	-	-
Show Indexing Exclusion Rules	EIX-003-show_indexing_exclusion_rules	display	Configure Indexed Entries	EIX	EIX-003	준비 완료	gitignore와 같은 정규표현식 규칙 기반으로 인덱싱에서 제외되는 경로·패턴 규칙을 표시	settings_window.settings_body.tab_indexing	-	-
Create Indexing Exclusion Rule	EIX-003-create_indexing_exclusion_rule	command	Configure Indexed Entries	EIX	EIX-003	준비 완료	인덱싱 제외 규칙을 새로 생성해 규칙 목록에 추가	settings_window.settings_body.tab_indexing	-	-
Update Indexing Exclusion Rule	EIX-003-update_indexing_exclusion_rule	command	Configure Indexed Entries	EIX	EIX-003	준비 완료	기존 인덱싱 제외 규칙을 수정해 규칙 목록에 반영	settings_window.settings_body.tab_indexing	-	-
Delete Indexing Exclusion Rule	EIX-003-delete_indexing_exclusion_rule	command	Configure Indexed Entries	EIX	EIX-003	준비 완료	선택한 인덱싱 제외 규칙을 삭제해 규칙 목록에서 제거	settings_window.settings_body.tab_indexing	-	-
Edit Indexing Exclusion Rules	EIX-003-edit_indexing_exclusion_rules	input	Configure Indexed Entries	EIX	EIX-003	취소	경로·패턴·조건 기반 인덱싱 제외 규칙을 생성·수정·삭제할 수 있는 설정 화면을 엶		-	-
Exclude Selected Entries from Indexing	EIX-003-exclude_selected_entries_from_indexing	command	Configure Indexed Entries	EIX	EIX-003	기획 완료	선택한 엔트리의 경로를 인덱싱 제외 규칙으로 추가할 수 있도록 제외 규칙 편집 화면을 열고, 선택 항목 기반 규칙 초안을 미리 채움		-	-
Index System Property	EIX-004-index_system_property	background	Index System Properties	EIX	EIX-004	취소	<<AI>> 시스템 프로퍼티 조회는 별도 인덱싱 대신 macOS Spotlight 메타데이터 인덱스를 사용	-	-	-
Index Content-based Properties	EIX-005-index_content_based_properties	background	Index Content-based Properties	EIX	EIX-005	드래프트	새로 인덱싱 대상이 되었거나 내용이 변경된 Entry에 대해 포맷에 따라 내용을 파싱해 텍스트·메타데이터 등 콘텐츠 기반 프로퍼티를 추출하고 인덱스를 갱신	-	-	-
Re-extract Content-based Properties for Selection	EIX-005-re_extract_content_based_properties_for_selection	command	Index Content-based Properties	EIX	EIX-005	드래프트	선택한 Entry 집합에 대해 포맷에 맞는 콘텐츠 프로퍼티 추출 파이프라인을 수동 실행해 자동 프로퍼티 값을 재계산·복구하고 Entry 프로퍼티로 저장	-	-	-
Extract Document Properties	EIX-006-extract_document_properties	background	Extract Document Properties	EIX	EIX-006	드래프트	문서·프레젠테이션 계열 Entry에서 문서 타입·제목·클라이언트·프로젝트·요약 등 문서 관련 자동 프로퍼티를 추출해 Entry 프로퍼티로 저장	-	-	-
Extract Code Properties	EIX-007-extract_code_properties	background	Extract Code Properties	EIX	EIX-007	드래프트	코드 Entry에서 언어·주요 모듈/엔트리포인트·프레임워크·간단 요약 등 코드 관련 자동 프로퍼티를 추출해 Entry 프로퍼티로 저장	-	-	-
Extract Sheet Properties	EIX-008-extract_sheet_properties	background	Extract Sheet Properties	EIX	EIX-008	아이디어	스프레드시트 Entry에서 시트 이름·주요 컬럼 헤더·행·열 수·간단 지표·요약 등 표 구조 기반 자동 프로퍼티를 추출해 Entry 프로퍼티로 저장	-	-	-
Extract Image Properties	EIX-009-extract_image_properties	background	Extract Image Properties	EIX	EIX-009	아이디어	이미지·스크린샷 Entry에서 UI 캡처 여부, 그래프/차트/화이트보드 여부, 캡션·설명 등 이미지 관련 자동 프로퍼티를 추출해 Entry 프로퍼티로 저장	-	-	-
Extract Audio Properties	EIX-010-extract_audio_properties	background	Extract Audio Properties	EIX	EIX-010	아이디어	오디오 Entry에서 세션 타입(회의/인터뷰/발표 등)·길이·화자 수·핵심 키포인트·요약 등 오디오 관련 자동 프로퍼티를 추출해 Entry 프로퍼티로 저장	-	-	-
Extract Video Properties	EIX-011-extract_video_properties	background	Extract Video Propeties	EIX	EIX-011	아이디어	비디오 Entry에서 화면 타입(스크린캐스트/발표/회의 등)·길이·핵심 구간 요약·주요 키워드 등 비디오 관련 자동 프로퍼티를 추출해 Entry 프로퍼티로 저장	-	-	-
Index Entry Embeddings	EIX-012-index_entry_embeddings	background	Index Entry Embeddings	EIX	EIX-012	아이디어	선택한 Entry 집합에 대해 포맷별 Embeddings 계산 파이프라인을 실행해 임베딩 벡터를 재계산하고 임베딩 인덱스를 갱신	-	-	-
Compute Document Embeddings	EIX-013-compute_document_embeddings	background	Compute Document Embeddings	EIX	EIX-013	아이디어	문서·프레젠테이션 Entry의 제목·자동 요약·키포인트 등 비정형 텍스트 프로퍼티를 입력으로 사용해 문서 의미를 표현하는 임베딩 벡터를 계산	-	-	-
Compute Code Embeddings	EIX-014-compute_code_embeddings	background	Compute Code Embeddings	EIX	EIX-014	아이디어	코드 Entry의 파일 구조·주요 심볼·주석 요약 등을 입력으로 사용해 코드 의미를 표현하는 임베딩 벡터를 계산	-	-	-
Compute Sheet Embeddings	EIX-015-compute_sheet_embeddings	background	Compute Sheet Embeddings	EIX	EIX-015	아이디어	스프레드시트 Entry의 시트 요약·주요 컬럼 설명·대표 행 예시 등을 입력으로 사용해 데이터셋 의미를 표현하는 임베딩 벡터를 계산	-	-	-
Compute Image Embeddings	EIX-016-compute_image_embeddings	background	Compute Images Embeddings	EIX	EIX-016	아이디어	이미지·스크린샷 Entry의 캡션·설명 텍스트와 시각적 특징을 입력으로 사용해 이미지 의미를 표현하는 임베딩 벡터를 계산	-	-	-
Compute Audio Embeddings	EIX-017-compute_audio_embeddings	background	Compute Audio Embeddings	EIX	EIX-017	아이디어	오디오 Entry의 전사 요약·키포인트 등을 입력으로 사용해 오디오 세션 의미를 표현하는 임베딩 벡터를 계산	-	-	-
Compute Video Embeddings	EIX-018-compute_video_embeddings	background	Compute Video Embeddings	EIX	EIX-018	아이디어	비디오 Entry의 전사 요약·키포인트와 화면 타입 정보를 입력으로 사용해 비디오 콘텐츠 의미를 표현하는 임베딩 벡터를 계산	-	-	-
Open Collection Filter Composer	RCL-001-open_collection_filter_composer	command	Define Collection Scope	RCL	RCL-001	배포 완료	Entries View 상단에서 Collection Filter Composer를 열어 현재 콜렉션의 스코프 요약, query 입력, 조건 편집 영역이 함께 보이는 shared shell 상태로 전환	file_manager_window.content_pane.content_header.collection_filter_composer	edit_menu	⌘F
Collapse Collection Filter Composer	RCL-001-collapse_collection_filter_composer	command	Define Collection Scope	RCL	RCL-001	배포 완료	Collection Filter Composer를 닫아 페이지 타이틀 바 기본 상태로 전환하며, 미저장 변경은 유지	file_manager_window.content_pane.content_header.collection_filter_composer	-	ESC
Type Collection Filter Query	RCL-004-type_collection_filter_query	input	Compose Collection Filter	RCL	RCL-004	배포 완료	필터 쿼리 텍스트필드에 쿼리를 입력해 입력값을 갱신	file_manager_window.content_pane.content_header.collection_filter_composer	-	-
Submit Collection Filter Query	RCL-004-submit_collection_filter_query	command	Compose Collection Filter	RCL	RCL-004	배포 완료	텍스트필드에 입력된 쿼리를 제출해 필터 생성 파이프라인을 시작	file_manager_window.content_pane.content_header.collection_filter_composer	-	⏎
Generate Filter Changes from Query	RCL-004-generate_filter_changes_from_query	background	Compose Collection Filter	RCL	RCL-004	배포 완료	제출된 쿼리를 해석해 현재 필터에 반영할 구조화 조건 변경안을 산출해 반환	-	-	-
Apply Generated Filter Changes	RCL-004-apply_generated_filter_changes	background	Compose Collection Filter	RCL	RCL-004	배포 완료	생성된 필터 변경안을 현재 필터 정의에 일괄 반영	file_manager_window.content_pane.content_header.collection_filter_composer	-	-
Show Query Conversion Failure Feedback	RCL-004-show_query_conversion_failure_feedback	display	Compose Collection Filter	RCL	RCL-004	기획 완료	자연어 쿼리 해석 단계에서 변환 실패가 발생했을 때 입력 흐름을 막지 않는 가벼운 실패 피드백을 표시해 반영되지 않은 이유를 이해할 수 있게 함	file_manager_window.content_pane.content_header.collection_filter_composer	-	-
Show Query Execution Failure Feedback	RCL-004-show_query_execution_failure_feedback	display	Compose Collection Filter	RCL	RCL-004	기획 완료	검색 실행 또는 Helper/XPC 계층 오류로 적용이 실패했을 때 입력 흐름을 막지 않는 가벼운 실패 피드백을 표시해 실패 원인을 구분할 수 있게 함	file_manager_window.content_pane.content_header.collection_filter_composer	-	-
Coalesce Repeated Query Failure Feedback	RCL-004-coalesce_repeated_query_failure_feedback	background	Compose Collection Filter	RCL	RCL-004	기획 완료	동일한 실패 상태가 짧은 시간 안에 반복될 때 실패 피드백을 중복 누적하지 않고 노출 정책에 따라 합치거나 갱신함	-	-	-
Generate Filter Suggestions from Query	RCL-004-generate_filter_suggestions_from_query	background	Compose Collection Filter	RCL	RCL-004	취소	제출된 쿼리를 해석해 필터 변경안을 생성하고, 기존 필터와의 매칭 결과(신규/수정/제거 제안)를 포함해 반환	-	-	-
Show Generated Filter Suggestions	RCL-004-show_generated_filter_suggestions	display	Compose Collection Filter	RCL	RCL-004	취소	생성된 제안을 필터 영역에 사용자의 후속 결정을 대기하는 ‘제안 상태’로 표시	file_manager_window.content_pane.content_header.collection_filter_composer	-	-
Apply Generated Filter Suggestion	RCL-004-apply_generated_filter_suggestion	command	Compose Collection Filter	RCL	RCL-004	취소	해당 제안 상태의 필터를 확정하여 적용하여 새로 추가하거나, 값을 수정함	file_manager_window.content_pane.content_header.collection_filter_composer	-	-
Reject Generated Filter Suggestion	RCL-004-reject_generated_filter_suggestion	command	Compose Collection Filter	RCL	RCL-004	취소	해당 제안 상태 항목을 거절하여 제안 이전 상태로 되돌리거나, 제안된 필터를 제거함	file_manager_window.content_pane.content_header.collection_filter_composer	-	-
